meta_title,sub_title,engl_title,open_dy,dmst_spct_cnt
조,,Zoe,20190711,1246
조커,,Joker,20191002,80
존 윅 3: 파라벨룸,,John Wick: Chapter 3 - parabellum,20190626,942513
졸업,,Graduation,20191107,609
좀비랜드: 더블 탭,,Zombieland: Double Tap,20191113,136134
죄와 벌,,Romans,20190604,
주먹왕 랄프 2: 인터넷 속으로,,Ralph Breaks the Internet,20190103,4516
주전장,,Shusenjo: The Main Battleground Of The Comfort Women Issue,20190725,35733
죽음을 거스른 사나이,,Mystery of Muye: Jin Baozi,20190711,
쥬,,Zoo,20190813,
쥬만지: 넥스트 레벨,,Jumanji: The Next Level,20191211,
쥬만지: 넥스트 레벨,[다국어자막],Jumanji: The Next Level,20191211,
증인,,Innocent Witness,20190213,1915756
지구 공룡 대탐험,,Dinotasia Dinosaur Chronicle,20190815,
지구 최후의 날 2019,,Sightings,20190614,
지구 최후의 밤,,Long Day's Journey Into Night,20190725,
지구 침공의 날 2019,,Cute Little Buggers,20190911,
진범,,The Culprit,20190710,786
질투의 역사,,A History of Jealousy,20190314,
집 이야기,,I Am Home,20191128,2630
짱,[무삭제판],,20190322,
창간호,,The First Issue,20190117,
챔피언스,,CAMPEONES,20190207,3483
천로역정: 천국을 찾아서,,The Pilgrim's Progress,20190613,199791
천문: 하늘에 묻는다,,Forbidden Dream,20191226,
철벽선생,,"My Teacher, My Love",20190314,
첫잔처럼,,,20191011,290
청춘 돼지는 꿈꾸는 소녀의 꿈을 꾸지 않는다,,Rascal Does Not Dream of a Dreaming Girl,20190822,11486
체 게바라: 1부 아르헨티나,,Che: Part One,20190613,
체 게바라: 2부 게릴라,,Che: Part Two,20190613,
체인지 오버,,The Changeover,20190926,746
체크 메이트 캅,,Checkmate,20190416,
체크 히어로,,Checkered Ninja,20191023,12539
출동! 도토리 구조대,,Get Squirrely,20190328,9781
치트 더 행맨,,Cheat the Hangman,20190219,
